Gene_Symbol,U_statistic,P_value,FDR
C8B,100060.5,0.570882606361056,
FHL1,86906.5,0.0006563205030588282,
RTF2,113968.5,0.012215528856618434,
GABRA1,106920.0,0.2640901477986063,
NLRP2,107940.5,0.23456300174500544,
SLC45A4,101775.0,0.874212955898983,
RNF10,105018.0,0.5822540057600047,
ZNF839,107473.5,0.27719456490929595,
ZDHHC6,108277.5,0.20683223544179985,
GRAMD1B,98536.5,0.38651777691300226,
RNH1,113736.0,0.014086383737152148,
NDUFS1,89165.5,0.0035729515734431497,
RB1CC1,88265.5,0.0018692850090904038,
ERP44,91002.0,0.01199463240171178,
ALAS1,100626.0,0.6822639006530571,
BIRC3,108460.0,0.19284741427621488,
AKAP11,87143.5,0.0007924528937146093,
GLRX2,107441.5,0.2802976984918125,
SNAPC1,95787.5,0.14247685786373582,
DERA,93747.5,0.055826581037508136,
STRAP,98619.0,0.3964811487322346,
ABCC2,87069.0,0.0007470638052426733,
DEF6,129611.5,3.1423090436866265e-09,
PLEKHO1,114087.0,0.011349504513534742,
GCLM,91560.5,0.016836210773422493,
UBR2,96172.5,0.16681709844033177,
EHD2,90652.0,0.009631655720774401,
DEPDC1,116405.0,0.0023795459192324235,
CCDC28A,97524.0,0.27695313656958376,
RRAGD,89732.0,0.005273928665637889,
HSF2,86863.5,0.0006340839122834227,
PHF20,101087.0,0.75759284403238,
HSD17B6,117032.0,0.0014970373796511895,
NR1H3,104132.5,0.7213868048115961,
TYMP,125628.5,4.334092094945076e-07,
NCAPH2,115140.5,0.005745758477063026,
TOMM34,103574.0,0.8145433188939327,
SEC63,81167.0,3.1416652631423954e-06,
KPNA6,96613.0,0.19835559731855212,
VIM,91653.0,0.017785530273717383,
RTEL1-TNFRSF6B,112719.0,0.025560118263593754,
FAS,87410.0,0.0009765913733578056,
RNASET2,121401.0,3.628875891145122e-05,
CD44,104083.0,0.7295006926709684,
KCNG1,98116.0,0.338146571294894,
AGPAT4,89588.5,0.004784969307470801,
SLAMF7,111323.5,0.053867433781794365,
BTN3A1,103869.5,0.7648345832059121,
MIPEP,112488.5,0.029075339184067746,
PRKCH,95419.5,0.12185344713222432,
INSRR,99928.0,0.5741869270120095,
IFNGR1,86592.0,0.0005090947229902933,
B4GALT7,119813.5,0.00015492526010863806,
SH2D2A,117476.0,0.0010668573634584695,
VRK2,99990.5,0.5835285028576724,
TNFRSF1B,99424.0,0.5015690011453497,
VEZT,102148.5,0.9388649842713606,
POU2F2,108448.5,0.19370757377445513,
BRD9,108357.5,0.20061383436636548,
SNX1,97771.5,0.30155313575009746,
TBPL1,83652.5,3.8179185463314304e-05,
BMAL2,100877.0,0.7229416105191709,
BCLAF1,84649.0,9.599934257823967e-05,
SLC39A9,109178.0,0.14454008570659002,
ANK1,101125.0,0.763917682524063,
IBSP,119623.0,0.00018256515684305461,
TFB1M,98662.0,0.40173499122316647,
RABEP1,103185.0,0.881104580511233,
HMGB3,112087.5,0.036185077211655085,
NUP160,97684.5,0.29274507787434134,
BAK1,115548.5,0.004356830392336808,
MUSK,94490.0,0.07975932599708428,
IKZF2,98106.5,0.33710143922230495,
GRN,120117.0,0.00011842874492500558,
FAM13B,89588.5,0.0047849722605997295,
ARHGAP31,93564.5,0.050893815962656075,
CENPQ,101954.5,0.9052062963844931,
SARS1,114690.0,0.007733008681554278,
RANBP3,113332.5,0.017938516771153688,
ARID4A,91371.5,0.01503382090978727,
EIPR1,121939.0,2.161896224560037e-05,
PNPLA6,116433.5,0.0023308306821953357,
IFT88,108923.5,0.1604735973400485,
ALG1,114476.5,0.008874309744094902,
ZCCHC8,98730.5,0.4101902927442723,
ABCF2,105245.5,0.5486355201043751,
CHPF2,115903.5,0.0034041533810933574,
LRRC7,92724.5,0.03268419395285761,
FUT8,114029.0,0.011766326991465055,
UBA6,96560.5,0.19438275364730206,
GAB2,97303.5,0.25622011654719234,
ATP6V0A1,95308.5,0.11611411715837157,
PIAS1,88245.0,0.0018411313827965121,
SLC4A7,100815.5,0.712896782674181,
APBA2,109065.5,0.15142712087618906,
MAP2K3,97932.5,0.3183139820551494,
CLXN,92339.5,0.026414641894179507,
TMSB10,109960.0,0.1031089763498679,
ASTE1,99810.0,0.556747905161212,
RNF19A,95203.0,0.11085817336074867,
PEX3,84142.5,6.04207042149463e-05,
GABARAPL2,86897.5,0.000651607182702942,
MYOC,91327.0,0.01338298302823877,
SH3YL1,100486.0,0.6599610139570808,
FAM136A,110578.0,0.07756327729538737,
VCL,85466.0,0.00019767797134896494,
DEPDC1B,113209.0,0.01928895622491785,
DAPK2,97332.5,0.2588835777116286,
NSMAF,89390.5,0.004177620679154104,
ADSS2,107668.0,0.25883751777963604,
STAP1,115711.5,0.0038928408138684907,
TIMP2,91320.0,0.014573146612614588,
RFC1,96467.0,0.18745246748306943,
TBC1D23,87846.0,0.001365171614262205,
CUL3,94853.5,0.09477769251068284,
MYOM2,93685.5,0.05411248983494587,
OTC,91092.0,0.005570559603118478,
CYP46A1,88605.5,0.0023977145391868037,
ZZZ3,95104.0,0.10609861832670336,
SLC18A1,117339.5,0.0011279392568130271,
USP2,89931.0,0.0060267025609045035,
CASR,107100.5,0.29389119972437616,
TUBG2,97435.5,0.26849832719124433,
RPL26L1,115773.0,0.0037297828349045475,
FLT4,91705.5,0.01834493074666594,
NSUN2,109162.5,0.1454744513937286,
FBXO42,96349.0,0.1789687791717316,
MFAP3,92942.5,0.036772011076328784,
MRI1,106730.5,0.35533470497761444,
